Updated On,State,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,18-45 years (Age),45-60 years (Age),60+ years (Age),Total Doses Administered
16-01-2021,India,48276,3455,2957,48276,0,23757,24517,579,47697,,,,48276
17-01-2021,India,58604,8532,4954,58604,0,27348,31252,635,57969,,,,58604
18-01-2021,India,99449,13611,6583,99449,0,41361,58083,1299,98150,,,,99449
19-01-2021,India,195525,17855,7951,195525,0,81901,113613,3017,192508,,,,195525
20-01-2021,India,251280,25472,10504,251280,0,98111,153145,3946,247334,,,,251280
21-01-2021,India,365965,32226,12600,365965,0,132784,233143,5367,360598,,,,365965
22-01-2021,India,549381,36988,14115,549381,0,193899,355402,8128,541253,,,,549381
23-01-2021,India,759008,43076,15605,759008,0,267856,491049,11192,747816,,,,759008
24-01-2021,India,835058,49851,18111,835058,0,296283,538647,13156,821902,,,,835058
25-01-2021,India,1277104,55151,19682,1277104,0,444137,832766,18858,1258246,,,,1277104
26-01-2021,India,1293784,60821,21467,1293784,0,449119,844448,19604,1274180,,,,1293784
27-01-2021,India,1726490,69495,23737,1726490,0,586081,1140137,27377,1699113,,,,1726490
28-01-2021,India,2295491,78523,25610,2295491,0,771229,1523939,36921,2258570,,,,2295491
29-01-2021,India,2814803,83664,26219,2814803,0,939069,1875368,43604,2771199,,,,2814803
30-01-2021,India,3067736,87822,26643,3067736,0,1022380,2044950,48300,3019436,,,,3067736
31-01-2021,India,3127107,91593,27011,3127107,0,1061307,2065391,58890,3068217,,,,3127107
01-02-2021,India,3350265,97432,27751,3350265,0,1152344,2197431,69372,3280893,,,,3350265
02-02-2021,India,3527971,106461,29522,3527971,0,1218507,2308898,76794,3451177,,,,3527971
03-02-2021,India,3825835,116568,31167,3825835,0,1324273,2500887,86001,3739834,,,,3825835
04-02-2021,India,4314304,126714,32505,4314304,0,1504527,2809042,99015,4215289,,,,4314304
05-02-2021,India,4765924,137110,33947,4765924,0,1710466,3054631,133911,4632013,,,,4765924
06-02-2021,India,5111827,145121,34814,5111827,0,1896705,3214244,195504,4916323,,,,5111827
07-02-2021,India,5168099,153231,35778,5168099,0,1928947,3238273,206130,4961969,,,,5168099
08-02-2021,India,5615499,164116,36740,5615499,0,2211020,3403576,290785,5324714,,,,5615499
09-02-2021,India,6002474,175556,38131,6002474,0,2458329,3543208,363692,5638782,,,,6002474
10-02-2021,India,6462270,187224,39339,6462270,0,2785194,3676114,480760,5981510,,,,6462270
11-02-2021,India,6958553,197650,40332,6958553,0,3153649,3803908,609108,6349445,,,,6958553
12-02-2021,India,7423817,207633,40799,7423817,0,3504429,3918381,740517,6683300,,,,7423817
13-02-2021,India,7687352,216559,41308,7687352,20859,3684053,4002279,781304,6906048,,,,7708211
14-02-2021,India,7710367,223423,41606,7710367,21911,3699535,4009812,786042,6924325,,,,7732278
15-02-2021,India,8111162,233527,42016,8111162,142489,3925723,4184377,825093,7286069,,,,8253651
16-02-2021,India,8337600,245131,42859,8337600,239626,4044967,4291548,841412,7496188,,,,8577226
17-02-2021,India,8704698,256706,43310,8704698,318541,4271486,4432078,894555,7810143,,,,9023239
18-02-2021,India,8862491,268275,43734,8862491,475776,4509554,4351815,962251,7900240,,,,9338267
19-02-2021,India,9523567,279055,44167,9523567,717941,4820055,4702310,1003518,8520049,,,,10241508
20-02-2021,India,9734505,288334,44791,9734505,884608,4966750,4766532,1033170,8701335,,,,10619113
21-02-2021,India,9757217,299726,45120,9757217,893795,4982068,4773924,1037565,8719652,,,,10651012
22-02-2021,India,10069263,312382,45490,10069263,1174416,5226538,4841511,1085940,8983323,,,,11243679
23-02-2021,India,10288293,325527,46054,10288293,1309475,5389434,4897627,1120345,9167948,,,,11597768
24-02-2021,India,10517568,339617,46671,10517568,1525390,5558978,4957351,1156820,9360748,,,,12042958
25-02-2021,India,10846192,352882,47068,10846192,1972882,5799474,5045426,1204424,9641768,,,,12819074
26-02-2021,India,11141375,357440,47240,11141375,2419557,6008758,5131299,1244235,9897140,,,,13560932
27-02-2021,India,11141426,357450,47242,11141426,2419557,6008785,5131323,1244235,9897191,,,,13560983
28-02-2021,India,11141651,367595,48032,11141651,2419557,6008960,5131373,1244273,9897378,,,,13561208
01-03-2021,India,11141651,401961,50243,11141651,2419557,6008960,5131373,1244273,9897378,,,,13561208
02-03-2021,India,11886320,448977,51350,11886320,2647634,6462436,5422470,1277711,10608609,,,,14533954
03-03-2021,India,12553326,533253,54700,12553326,2830557,6859318,5692550,1307164,11246162,,,,15383883
04-03-2021,India,13393538,613748,57418,13393538,3142165,7346850,6045211,1345443,12048095,,,,16535703
05-03-2021,India,14415912,714806,59064,14415912,3455761,7924084,6490255,1386898,13029014,,,,17871673
06-03-2021,India,15438495,802800,60930,15438495,3732333,8488627,6948195,1434272,14004223,,,,19170828
07-03-2021,India,15541529,862720,63187,15541529,3747137,8545982,6993867,1440857,14100672,,,,19288666
08-03-2021,India,16976138,923939,64854,16976138,4062362,9298005,7676312,1495593,15480545,,,,21038500
09-03-2021,India,18360243,3632230,22562,14003206,4357037,10044921,8313353,1619279,16739804,,,,18360243
10-03-2021,India,19538547,3712590,22885,14872785,4665762,10707385,8829091,1727948,17809439,,,,19538547
11-03-2021,India,19953987,2074307,13920,15204375,4749612,10937930,9013952,1755220,18197567,,,,19953987
12-03-2021,India,21772159,5428928,34489,16612019,5160140,11974143,9795767,1910640,19860313,,,,21772159
13-03-2021,India,23159604,4500722,27403,17698742,5460862,12747867,10409393,2010101,21148292,,,,23159604
14-03-2021,India,23317750,935045,6063,17837716,5480034,12832126,10483269,2017875,21298664,,,,23317750
15-03-2021,India,25618250,6451678,40180,19766466,5851784,14090723,11524956,2183445,23433592,,,,25618250
16-03-2021,India,25709257,5366679,33886,25709257,6161488,13993527,11713149,2557019,29313725,7822654,8321177,9549294,31870745
17-03-2021,India,30011328,5183313,31807,30011328,6484692,16266085,13742026,2875235,33620784,7949980,9106642,12938115,36496020
18-03-2021,India,31952935,5880856,38208,31952935,6817469,17311577,14637915,3111700,35658703,8086204,9587964,14261942,38770404
19-03-2021,India,34228371,6385874,41625,34228371,7080848,18492473,15732206,3332178,37977040,8219288,10165734,15826268,41309219
20-03-2021,India,36568988,6470646,42178,36568988,7308880,19688923,16876137,3617184,40260683,8358591,10766621,17426476,43877868
21-03-2021,India,37303458,1919521,13892,37303458,7341914,20053560,17245870,3711319,40934052,8392363,10969933,17923778,44645372
22-03-2021,India,39612614,7458801,49877,39612614,7592019,21244939,18363361,4025733,43178899,8514176,11542500,19538350,47204633
23-03-2021,India,42148875,6325666,42614,42148875,7824277,22532413,19611896,4418254,45554897,8657263,12235178,21238556,49973152
24-03-2021,India,44250191,6309312,42607,44250191,7966046,23602891,20642500,4755913,47460323,8770039,12809134,22652955,52216237
25-03-2021,India,46454700,6810937,46395,46454700,8134520,24744845,21704739,5065307,49523912,8895838,13438961,24101658,54589220
26-03-2021,India,48749313,7290723,49904,48749313,8271851,25911744,22832194,5363425,51657738,9030708,14142017,25558079,57021164
27-03-2021,India,50865316,6515557,44549,50865316,8370120,26976551,23883153,5581810,53653625,9170702,14835024,26840911,59235436
28-03-2021,India,51179587,2724106,18876,51179587,8377533,27137004,24036939,5600420,53956699,9191854,14951629,27017385,59557120
